document_id,time,person,organization,statement_id,Column1,summary,Policy Means,Policy Ends,SubTopics,Type of Belief,text,Column2,Column3,agreement,start_position,stop_position,document_section,document_type,coder,document_author,document_source,concept
7,3/1/2024 1:00,Marianne Swart,Municipality of Leeuwarden,141,,implementation should not postpone,,Implementation Conditions,,,"No further delay is necessary for Leeuwarden. ""We are now just going to implement that law and experience what works and what does not."" It will not be flawless, according to Swart. ""But we hope that in a few years we can say that it has been a mega job, which is also necessary.""",,,1,7411,7691,,,1,,LeidschDagblad,Implementation should not postpone
7,3/1/2024 1:00,Annelies Boonman,Stout Groep,11,,implementation should not postpone to prevent internal knowledge from disappearing,,Implementation Conditions,,,"“You can keep postponing, but at a certain point the internal knowledge disappears. Then a lot of money has been invested for something that remains on the shelf. For example, we have training programs that were only rolled out when it was clear that the law would finally be introduced. Otherwise you're giving course after course to people who can't use it.""",,,1,10091,10451,,,1,,LeidschDagblad,Implementation should not postpone
11,28/12/2023 1:00,All Jacob Bremer,Municipality of De Fryske Marren,15,,Good that EPA is introduced even after postponements,,Implementation Conditions,,,"“We had to take the jump and it was a dream come true. The place is positive and this is an important step therein, a stimulus to get things done just right. In the meantime, we would rather lean back because we could not do anything during this time.""
The 'positive vibes' of the Omjouwingswet will not come until 2032",,,1,4108,4427,,,1,,FrieschDagblad,Implementation should not postpone
12,28/9/2022 2:00,Ester Hilhorst,I&O Research,16,,insufficient coordination within government for dso,,Implementation Conditions,Coordination,,"“Environmental plans and permits require coordination with other authorities such as the government, province, environmental services and water boards. In the opinion of two-thirds of the contacts, these chains have not yet been tested well enough.""",,,0,1884,2133,,,1,,FrieschDagblad,Implementation should not postpone
100,26/2/2021 1:00,Municipality of Sudwest Fryslan,Municipality of Sudwest Fryslan,100,,implementing EPA puts pressure on small municipalities,,Implementation Conditions,,,"This puts 'extra pressure on the organization, because other activities also have to continue', the municipality of Harlingen responds. This pressure is relatively great in small municipalities, but Súdwest-Fryslân also speaks of 'a major operation with a major impact on the official organization', which reminds the municipality of the previous decentralization, that of the social domain in 2015.",,,1,864,1263,,,1,,FrieschDagblad,More resources are needed for implementation
100,26/2/2021 1:00,Municipality of Terschelling,Municipality of Terschelling,101,,Practicing the technicalities of EPA does not work well digitally,,Implementation Conditions,,,"'Practicing with this normally takes place physically and in many cases it does not work well digitally,' says De Fryske Marren. 'Those involved are dropping out,' says Terschelling.",,,1,1920,2102,,,1,,FrieschDagblad,More resources are needed for implementation
100,26/2/2021 1:00,Municipality of Waadhoeke,Municipality of Waadhoeke,102,,dso is the absolute condition for EPA to work properly,,Implementation Conditions,,,"""That is an absolute condition for being able to work properly with the law in the future,"" West- en Ooststellingwerf and Opsterland write in a joint response. But 'will these national facilities be ready on time?', Waadhoeke wonders.",,,0,3342,3576,,,1,,FrieschDagblad,Implementation should not postpone
3,8/1/2022 1:00,Hus and Hiem Design Committee,Hus and Hiem Design Committee,1,,EPA allows for monument protection,,Enabling/Disabling Objectives,Sectoral Interests,,"The case has been going on in Achtkarspelen for a long time. In 2010, a former doctor's home in Surhuisterveen was demolished to make way for new construction. A petition against this had no effect, because there was no protection. The new environmental law does offer an opportunity to anchor the 'dowry', the aesthetic committee tips.",,,1,832,1168,,,1,,FrieschDagblad,Decentralization is helpful
6,28/11/2020 1:00,Jurgen Nobel & Julius Terpstra,Municipality of Haarlemmermeer,3,,stricter standards from EPA hinder construction,,Enabling/Disabling Objectives,Sectoral Interests,,"Minister Ollongren (D66) came up with new additional noise pollution and quality of life standards for the Environmental Act. These new noise standards threaten to make almost all housing projects around Schiphol unfeasible. The construction of 380,000 (!) homes from Alphen aan den Rijn to Almere and from Castricum to Leiden is in doubt. With the new stricter standards, entire villages and municipalities are suddenly classified as unliveable.",,,0,1418,1864,,,1,,LeidschDagblad,Decentralization is helpful
6,28/11/2020 1:00,Jurgen Nobel & Julius Terpstra,Municipality of Haarlemmermeer,5,,centralized governance is important for housing construction,,Enabling/Disabling Objectives,Sectoral Interests,,"What we need now is a united, reliable and, above all, clear central government, which gives all the green signals for housing construction.",,,0,3403,3543,,,1,,LeidschDagblad,Decentralization is helpful
7,3/1/2024 1:00,Peter Nicolai,Senate,10,,centralization is necessary for national goals,,Enabling/Disabling Objectives,High-level Interests,,"As an experienced administrative law teacher, he was used to reading legal texts, but this law lacks rationality. ""There are simply 23 existing laws stuck together with some implementation regulations and then you end up with about a thousand pages of legal text. But what are they for? Fifteen years ago, decentralization was necessary. So that municipalities could gain more control over their spatial planning policy. But society has changed, we are now dealing with nitrogen, housing shortage and the energy transition. We want to have national control over this. The whole idea behind the operation is therefore outdated.""",,,0,7966,8593,,,1,,LeidschDagblad,Decentralization is helpful
22,5/11/2021 1:00,Matt Poelmans,CitizenVision,23,,EPA enables the creation of local environmental quality standards,,Enabling/Disabling Objectives,Sectoral Interests,,"""The introduction of the Environmental Act in 2022 is the logical moment to establish the WHO guidelines as a standard. Environmental quality must be legally laid down locally and measured, so that local residents of Schiphol receive individual legal protection in terms of health and living enjoyment, including outdoors.""",,,1,2401,2724,,,1,,LeidschDagblad,Decentralization is helpful
29,18/11/2020 1:00,Jos Ubels,Farmers Defense Force,26,,changes in standards cause farmers to lose their permits,,Enabling/Disabling Objectives,Sectoral Interests,,"The organizer of the protest, action group Farmers Defense Force, is against the new Environmental Act, with which the government wants to merge existing rules on nature, the environment and spatial planning, among other things. The farmers fear that they will lose their permits as a result. In addition, the farmers are against the government's purchasing scheme and against the nitrogen rules.",,,0,1027,1423,,,1,,LeidschDagblad,Decentralization is helpful
31,22/3/2022 1:00,Job Dura,Dura Vermeer,475,,EPA slows construction progress due to additional standards,,Enabling/Disabling Objectives,Sectoral Interests,,"The new environmental law makes the official wheels slower, Dura fears. 'It's good to have a say, you can object to the smallest things, but it has to remain realistic. A new building can be built in a city. Municipalities often impose additional conditions on sustainability, and it is a challenge for each municipality to meet the standards. That is why we have invested extra in work preparation and granting permits.'
",,,1,3886,4308,,,1,,deVolkskrant,Instruments ensure citizen participation
32,18/3/2016 1:00,Jeroen Traudes,Municipality of Leiden,33,,EPA forces long term approach towards planning,,Enabling/Disabling Objectives,High-level Interests,,"""And the Environmental Act places other, more drastic requirements on civil servants when thinking about the future of the city,"" says Traudes.",,,1,749,892,,,1,,NRCNEXT,"Important for an integrated, long-term approach"
32,18/3/2016 1:00,Jeroen Traudes,Municipality of Leiden,34,,EV helps with integrating societal goals,,Enabling/Disabling Objectives,High-level Interests,,"""The environmental vision goes further. It is about the organization of society. So also about the environment, sustainability, nature protection, the long-term consequences of aging , education, sustainability or mobility.",,,1,2737,2960,,,1,,NRCNEXT,"Important for an integrated, long-term approach"
32,18/3/2016 1:00,Martine van Rijn,Municipality of Utrecht,35,,EPA forces disciplines to work together in the municipality,,Enabling/Disabling Objectives,High-level Interests,,"Here too, the law means an official cultural change.
 “Will civil servants from different disciplines be able to work together? Civil servants who have never looked over each other's fence before now have to do so. Those who are currently involved in spatial planning at city hall will soon also have to know what their environmental colleagues are doing with air pollution and traffic. And vice versa. This requires a cultural change that must become a reality in 2018.""",,,1,3559,4030,,,1,,NRCNEXT,"Important for an integrated, long-term approach"
35,9/7/2018 2:00,Ministry for Housing and Spatial Planning of the Netherlands,Ministry for Housing and Spatial Planning of the Netherlands,38,,municipal has power to set important standards for urban development,,Enabling/Disabling Objectives,Sectoral Interests,,"What can also be a good impetus, according to the spokesperson: in the new environmental law (effective from 2021), municipalities and provinces are given the freedom to draw up urban development regulations themselves.",,,1,8561,8780,,,1,,deVolkskrant,Decentralization is helpful
40,18/1/2024 1:00,Spoor,Municipality of Asten,41,,municipal has power to set important standards for the environment,,Enabling/Disabling Objectives,Sectoral Interests,,"Councilor Spoor has pinned her hopes on the new environmental law, which has been in force since the beginning of this year and contains all kinds of rules for what can be seen, heard or smelled outside. ""The new environmental law may offer a way out and an opportunity to continue the process,""",,,1,4613,4908,,,1,,deVolkskrant,Decentralization is helpful
61,9/1/2024 1:00,Jos Marcelissen,North Brabant Bat Reporting Network,54,,municipal has power to set important standards for nature,,Enabling/Disabling Objectives,Sectoral Interests,,"The Environmental Act therefore recommends nature-inclusive measures for bats in new construction.

By measuring and monitoring, we try to get a grip on developments that are harmful to nature, which we usually cause ourselves. When asking how we can prevent these developments, we regularly encounter dilemmas, including in the forests of Oisterwijk",,,1,1687,2037,,,1,,deVolkskrant,Decentralization is helpful
63,12/2/2022 1:00,Claudia Carelse,Claudia Carelse,62,,municipal has power to set important standards for urban development,,Enabling/Disabling Objectives,Sectoral Interests,,"The basic principle is that the Binckhorst must remain a mixed area, with both housing and businesses, says Carelse during a walk past car garages and the concrete plant. 'We want to keep the rough edges. That gives the area its charm.' That combination was excluded under the old zoning plan, where all companies were relocated. 'We wouldn't have been able to do this without the new Environmental Act.'",,,1,16361,16765,,,1,,deVolkskrant,Decentralization is helpful
79,12/3/2024 1:00,Simona Pedde,Wageningen University,79,,EPA allows for an integrated approach towards climate risks,,Enabling/Disabling Objectives,High-level Interests,,"The agency emphasizes that climate change alone does not determine the severity of the risks. Climate change intertwines with other factors, such as social inequality, unsustainable agriculture, pollution and land use (for example, where construction takes place and where construction does not take place). That is why the European Environment Agency advocates a holistic, integrated approach involving many policy areas. ""That requires a change in policy,"" says geographer Simona Pedde of Wageningen University & Research, who contributed to the report. ""In the Netherlands, for example, the environmental law is an attempt to do this.""",,,1,1197,1835,,,1,,NRC,"Important for an integrated, long-term approach"
80,29/2/2024 1:00,Marcel Levi,The Dutch Research Council,80,,municipal has power to set important standards for air quality,,Enabling/Disabling Objectives,Sectoral Interests,,"Together with the new Environmental Act, which also provides new tools for enforcement based on the health of local residents, it should be sufficient to force Tata to produce cleanly, says Levi.",,,1,2989,3184,,,1,,LeidschDagblad,Decentralization is helpful
81,12/11/2022 1:00,Ashley North,Municipality of Leiden,81,,municipal has power to set important standards for nature conservation,,Enabling/Disabling Objectives,Sectoral Interests,,"Secondly, the request to use nature-inclusive construction as a criterion when choosing developers - whereby it should be noted that, according to Alderman North, the municipality is already doing this, even though it can only formally become a rule when the new Environmental Act comes into effect. Finally, the entire city council agreed to clearly split the objective of promoting 'biodiversity and animal welfare' into two separate objectives from now on.",,,1,1525,1984,,,1,,LeidschDagblad,Decentralization is helpful
85,27/10/2023 2:00,WoningbouwersNL,WoningbouwersNL,82,,stricter standards from EPA hinder housing construction,,Enabling/Disabling Objectives,Sectoral Interests,,"The EIB has conducted a study into the current labor market. 50,000 extra pairs of 'hands' are needed, while a wave of retirements is also imminent. WoningbouwersNL, the trade club for builders of private homes, sees the new Environmental Act as a hurdle for housing construction in the next few years. For example, noise standards will play a major role in this, but in this area too the wheel still has to be reinvented in practice.",,,0,1640,2074,,,1,,LeidschDagblad,Decentralization is helpful
92,9/3/2021 1:00,Council of De Fryske Marren,Municipality of De Fryske Marren,87,,EPA allows municipality to make important rules for wood burning,,Enabling/Disabling Objectives,Sectoral Interests,,The municipality can now only check things such as the chimney height. The Environmental Act that will come into effect next year provides scope for new rules. ,,,1,914,1074,,,1,,FrieschDagblad,Decentralization is helpful
94,2/4/2024 2:00,Netherlands Interdisciplinary Demographic Institute,Netherlands Interdisciplinary Demographic Institute,89,,municipal has power to set important standards for healthy food environment,,Enabling/Disabling Objectives,Sectoral Interests,,"In 2021, researchers already concluded that municipalities have few instruments to ensure a 'healthy food environment'. The new environmental law makes more possible, although it remains legally complex. De Groot: 'And before it has an effect, it will take years.'",,,1,11034,11298,,,1,,deVolkskrant,Decentralization is helpful
99,27/1/2021 1:00,"Municipality of Amsterdam, Rotterdam, Utrect, Ede, The Hague","Municipality of Amsterdam, Rotterdam, Utrect, Ede, The Hague",91,,municipal has power to set important standards for food health ,,Enabling/Disabling Objectives,Sectoral Interests,,"they therefore request an amendment to the Environment Act and the Commodities Act. Now providers cannot be banned just because they sell unhealthy food. This is only possible if, for example, there is noise or odor nuisance. With an amendment to the law, municipalities could more easily ban fast food branches.",,,1,847,1159,,,1,,NRCNEXT,Decentralization is helpful
103,11/12/2021 1:00,Pim de Vroomen,Pim de Vroomen,104,,EPA strengthens noise regulation efforts,,Enabling/Disabling Objectives,Sectoral Interests,,"In your article about the new Environmental Act, you give local administrators relatively much room to grumble about the new Environmental Act, which, among other things, merges many noise regulations. It is undoubtedly an informative article, but also somewhat one-sided.",,,1,244,516,,,1,,LeidschDagblad,Decentralization is helpful
104,27/5/2023 2:00,Jochen Mierau,University of Groningen,105,,EPA allows setting stricter standards on food health,,Enabling/Disabling Objectives,Sectoral Interests,,"'So yes, you also have to look at the Environmental Act through health glasses. We know that a large presence of fast food chains contributes to obesity. For example, the law may state that only a maximum number of snack bars may be established in an area. Or you can include that the food you offer as a catering facility must contribute to healthy nutrition. Of course you can have fries, but it's all about how a company markets them.",,,1,6489,6926,,,1,,deVolkskrant,Decentralization is helpful
9,30/11/2023 1:00,Mark Bovens,Scientific Council for Government Policy,14,,EPA does not ensure quality of citizen participation,,Citizen Participation,,,"Yes. That is why we are concerned about the Environmental Act that will soon be introduced. It does not set any substantive requirements for the quality of citizen participation in construction projects. The idea is that we will figure it out together. We are very concerned that this laissez-faire approach will mean that some groups of citizens, and in particular the wealthy project developers, will be able to exercise much more control over the environment than others. Grip is sometimes a zero-sum game: more grip for one person is less grip for the other. This means that citizen participation is not always the solution to discomfort, but can even increase it.""",,,0,5473,6142,,,1,,NRC,Instruments ensure citizen participation
13,21/2/2020 1:00,Muncipality of Kraag en Braasem,Muncipality of Kraag en Braasem,17,,EV & P encourages citizen participation,,Citizen Participation,,,"Drawing up a local Environmental Vision - which must ultimately result in an Environmental Plan - requires a lot of preparation time. This is partly because the municipality attaches importance to broad consultation - such as via the new, 850-user digital platform - in the belief that plans improve when residents 'participate and help decide'",,,1,2210,2554,,,1,,LeidschDagblad,Instruments ensure citizen participation
19,2/4/2021 2:00,Erik de Swart,Muncipality of Heerenveen,20,,EPA allows for more citizen participation,,Citizen Participation,,,"Fortunately, a lot will change in this area when the new Environmental Act comes into effect, probably on January 1, 2022. In this new law, local residents and stakeholders do get the voice they deserve. 'Participation' and 'support' will become an important part of the spatial assessment framework. Whether it concerns the installation of a large extension to a house, the establishment of a healthcare complex or the redesign of a roundabout, the initiators must demonstrate that they have sufficiently included those directly involved in the process.",,,1,4496,5050,,,1,,FrieschDagblad,Instruments ensure citizen participation
20,8/2/2022 1:00,Cor Hergaarden,Citizen's Initiative Warren Naturally Green,21,,EPA allows citizens to contribute to problem solving,,Citizen Participation,,,"It is not without reason that the new environmental law refers to 'direct involvement of citizens in developing the environmental vision'. This appeals to a new administrative culture in which you first formulate what exactly the problem is, then what frameworks are set for the solution and then ask citizens with an open mind to think about the possibilities for solving the problem.",,,1,3336,3721,,,1,,FrieschDagblad,Instruments ensure citizen participation
31,22/3/2022 1:00,Job Dura,Dura Vermeer,31,,EPA allows for more citizen participation,,Citizen Participation,,,"The new environmental law makes the official wheels slower, Dura fears. 'It's good to have a say, you can object to the smallest things, but it has to remain realistic. A new building can be built in a city. Municipalities often impose additional conditions on sustainability, and it is a challenge for each municipality to meet the standards. That is why we have invested extra in work preparation and granting permits.'
",,,1,3886,4308,,,1,,deVolkskrant,Instruments ensure citizen participation
45,13/2/2016 1:00,Social and Cultural Planning Office,Social and Cultural Planning Office,42,,EPA does not actually favour citizens who do not have time to participate,,Citizen Participation,,,"Due to the environmental law, once we have taken off father's support stockings, we will have to go to the community center to discuss the plans of the project developers. The energetic citizen is permanently exhausted. In practice, so-called participation professionals will be given every opportunity. They have the time and, above all, an agenda that does not necessarily have to be yours and mine.",,,0,4779,5180,,,1,,deVolkskrant,Instruments ensure citizen participation
63,12/2/2022 1:00,Maayke Houtman,Maayke Houtman,61,,EPA allows citizens to work with municipalities better,,Citizen Participation,,,"Now, with the Environmental Act in hand, a new approach has been chosen. It's called 'organic development'. The idea, explains planning lawyer Maayke Houtman, is that initiatives come from the neighborhood itself and that housing construction is possible in combination with companies. Anyone who comes up with a plan is welcome, says Houtman. On one condition: 'That people adapt to the neighborhood.'",,,1,14795,15197,,,1,,deVolkskrant,Instruments ensure citizen participation
69,6/2/2021 1:00,Bjorn Bleumink,Bjorn Bleumink,70,,EPA relaxes rules which allow for more citizen initatives,,Citizen Participation,,,"Architect Björn Bleumink also sees much room for better involving residents in maintaining greener neighborhoods in the long term. ""Although you do see hopeful developments such as owner associations that jointly manage the greenery.""
'Bottom-up' and 'cooperative' are the key words for just about anyone working on this subject. The green project plans, brochures and policy documents are full of it. In that respect, a lot is also expected from the new Environmental Act that came into effect this year. This should make it easier for residents to come up with initiatives for creating neighborhood parks and managing new green areas. There are more and more subsidy schemes that provide for this, and rules for creating community gardens are slowly but surely being relaxed.",,,1,8436,9213,,,1,,NRCNEXT,Instruments ensure citizen participation
76,12/2/2020 1:00,National Obudsman,National Obudsman,77,,new procedures favours specific citizens and cause others to lose out,,Citizen Participation,,,"In an interview with NRC, the National Ombudsman warned of the risk that only a ""participation elite"" will be able to handle the complex rules and new responsibilities well. Those who cannot handle this, for example, those who cannot communicate digitally, are in danger of losing out. to mine.",,,0,2678,2972,,,1,,NRCNEXT,Instruments ensure citizen participation
88,26/4/2024 2:00,Mercel Gerritsen,Mercel Gerritsen,84,,Environmental vision allows for manipulation and lacks citizen participation,,Citizen Participation,,,"Marcel Gerritsen, Amsterdam
Citizen participation
What is the reason that citizen participation in municipalities is so often vapid and sometimes has manipulative tendencies? The article about the Environmental Act in Groningen (First, 23/4) describes the same experiences that we in Utrecht Overvecht have had for over a year with the environmental vision: raising wrong expectations, omitting preconditions, concealing language, unclear information, results of ignoring surveys and not answering questions and complaints, to name a few. In addition, the municipality of Utrecht is trying to conceal the fact that demolition must take place.",,,0,1819,2461,,,1,,deVolkskrant,Instruments ensure citizen participation
90,12/10/2022 2:00,Dick Speijers,Dick Speijers,85,,EPA allows for participation but municipalities is free to disregard your opinion,,Citizen Participation,,,"Participation means participating in discussions, thinking along and making your opinion heard. It does not mean that you can order the municipality to carry out your wishes. The municipality is free to disregard your opinion in the weighing of interests and come to a different decision. This cannot be otherwise with multiple interests. The misconception about participation and participation does not bode well when the Environmental Act comes into effect.",,,0,1335,1794,,,1,,deVolkskrant,Instruments ensure citizen participation
17,16/3/2019 1:00,NRC,NRC,19,,decentralization causes provincial role to diminish,,ETC,,,"Nowadays, provincial tasks are mainly in the field of spatial planning. But here too, the role of the province is diminishing now that the municipalities will soon have a greater task here as a result of the Environmental Act.
In short, what political role does the province still play? ""Provinces are increasingly concerned with consultation and process"", is noted in the collection 'Provincial Politics' published this week",,,0,3597,4022,,,1,,NRCNEXT,Decentralization is helpful
21,24/4/2021 2:00,Egbert Kalse and Vincent Sondermeijer,NRC,22,,Complications from combining rules affect construction,,A,,,"The new Environmental Act, which combines many existing rules, threatens to become so complicated that large construction projects are jeopardized. The large cities, which must make an important contribution to a solution to the housing crisis in the coming years, are particularly concerned about this. The law is intended to make construction easier.",,,1,2262,2614,,,1,,NRC,Instruments simplifies procedures
25,9/1/2021 1:00,Robert van Rijn,Muncipality of Aalsmeer,25,,Stricter noise standards under EPA hinders housing construction,,A,,,"Amstelveen wants to add a neighborhood on the southern edge in the autumn and Uithoorn hopes to free up land for housing by moving sports fields to a location below the Aalsmeerbaan. The question is whether this will all work, because stricter noise standards will apply under the Environmental Act, which must come into effect in 2022. Aalsmeer councilor Robert van Rijn (VVD): ""For Aalsmeer, housing is no longer possible on 71 percent of the territory. Now we are going to 100 percent.""",,,0,2363,2852,,,1,,NRCNEXT,Decentralization is helpful
30,28/11/2019 1:00,Kees Linse,Committee of Environmental Impact Assessments,28,,EPA has ambitions to integrate various goals,,A,,,"“I respect the ambitions in the vision. There is no beating around the bush. It describes the areas in which something needs to be done: climate, economy, cities and agriculture.",,,1,1600,1778,,,1,,NRCNEXT,"Important for an integrated, long-term approach"
32,18/3/2016 1:00,Tonny Nijmeijer,Radboud University Nijmengen,36,,"legal gaps in establishing final say, does not simplify procedures",,Legal Problems,,,"Experts point to gaps in the law. Because who has the say in conflicts has not been determined, says assistant professor Daniel Korsse of Utrecht University. ""It is unclear who has the final say: municipality, province or, as a last resort, Brussels.""
“A lot of work has been done in a short time,” said Professor Tonny Nijmeijer of Radboud University Nijmegen during a hearing on the bill at the end of last year.",,,0,4031,4445,,,1,,NRCNEXT,Legislation is legally sound
32,18/3/2016 1:00,Marijke Vos,Senate,37,,"additional regulations adds complications, does not simplify procedures",,A,,,"According to GroenLinks senator Marijke Vos, the additional regulations are a tangle of ""hundreds of pages that can hardly be understood by almost anyone.""",,,0,5343,5498,,,1,,NRCNEXT,Instruments simplifies procedures
36,8/3/2022 1:00,Vincent Kokke,"All of North, One Garden",39,,EV allows for more influence from residents and less from government and corporations,,A,,,"""More influence from residents, and less from government and corporations,"" said spokesman Vincent Kokke. ""That also fits within the new Environmental Act.""",,,1,1636,1792,,,1,,LeidschDagblad,Instruments ensure citizen participation
39,23/4/2022 2:00,Diederik van der Mast,Rotterdam Naturally!,40,,EV lacks robust assessments standards,,,,," There are no assessment criteria in Rotterdam for the development of the physical outdoor space. All area developments are only tested against the legal framework. There are therefore no frameworks or standards for nature and health (think of heat, cooling), greenery and biodiversity. Nature, water and people are left behind.",,,0,1219,1547,,,1,,NRC,Instruments ensure citizen participation
48,15/2/2022 1:00,Jeroen Olthof,Province of North Holland,43,,Stricter rules for noise pollution hinders housing construction,,Enabling/Disabling Objectives,Sectoral Interests,,"The North Holland deputy Jeroen Olthof (Livability, Aviation) already sounded the alarm at the same Ministry of the Interior and Kingdom Relations, which has now been tinkering with the new Environmental Act for years. Soon, all kinds of noise pollution will be added up to determine whether or not homes can be built somewhere. Olthof fears that almost the entire Schiphol region will soon be labeled as 'poor quality of life'. When asked, the province says it has still not heard anything from the Ministry of the Interior and Kingdom Relations about how justified those fears are.",,,0,5815,6398,,,1,,deVolkskrant,Decentralization is helpful
51,12/3/2022 1:00,Hugo De Jonge,Ministry for Housing and Spatial Planning of the Netherlands,44,,EPA provides sufficient legal grounds for housing construction outside local authorities,,ETC,,,"De Jonge hopes that the Environmental Act, which will come into effect next year, will provide sufficient legal grounds to continue housing construction plans if local authorities fail. In addition, a proposal is in the making for a 'law to strengthen public housing management'. But such a legislative process takes a long time and he does not have time to wait for it.",,,1,2410,2780,,,1,,NRC,Instruments simplifies procedures
52,28/1/2022 1:00,Lieuwe Koopmans,Tercera,45,,introduction will be a disaster because of dso,,Implementation Conditions,,,"""A six-month delay only leads to muddling through. Just introduce that law as of July 2022. Then the resulting chaos will be convincing enough.""",,,0,4317,4461,,,1,,NRC,Implementation should not postpone
52,28/1/2022 1:00,Bahreddine Belhaj,Dutch Association for Council Members,47,,municipalities cannot prioritize implementing EPA on time,,Implementation Conditions,,,"""No one believes that the government will get this national system in order in a timely manner. Municipalities also do not have the official capacity to deal with this new law. The civil servants involved are busy implementing the government's new housing plans.""",,,1,5005,5268,,,1,,NRC,More resources are needed for implementation
54,9/5/2023 2:00,Gert-Jan de Jager,Kneppelhout Law Firm,48,,"Threshold for appeal is lower, procedure for expropriation is longer",,A,,,"""The threshold for appeal is becoming lower, so there is a good chance that every farmer will soon go to the Council of State,"" says Gert-Jan de Jager, a lawyer at the Kneppelhout firm specialized in expropriation cases. ""It will take some time before you have rulings in two instances, so expropriation will simply take more time.""",,,0,3097,3429,,,1,,NRC,Instruments simplifies procedures
