"","Topic","Storyline","Substoryline"
"102","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","DSO will cause legal issues"
"103","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","Errors from DSO causes legal issues"
"104","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","Alternative working methods is not legally valid"
"105","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","EPA has legal foundation for housing construction"
"106","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Municipalities consume a lot of resources to implement EPA"
"107","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Municipalities have funding gaps for implementation"
"108","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Municipalities are understaffed for implementation"
"109","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Municipalites cannot prioritize EPA"
"110","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Municipalities take on too many new tasks"
"111","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Small municipalities are vulnerable"
